,SiteName_x,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,hash,SiteName_y,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
361,觀音,桃園市,58,臭氧八小時,普通,0.6,0.14,0.2,51,57,37,10,,,,5.4,42,2019/10/21 13:00,13,34,3,121.082761,25.035503,19,19-2019-10-21 13:00:00,19,東北,4,6,,25.2,57,1013.5,,0,中央氣象局,2019/10/21 13:00
362,新竹,新竹市,54,臭氧八小時,普通,2.3,0.26,0.3,63,56,0,0,8.5,9.8,1.3,4.3,58,2019/10/21 13:00,13,32,2,120.972075,24.805619,24,24-2019-10-21 13:00:00,24,北北東,3,,,25.2,62,1013.1,晴,0,中央氣象局,2019/10/21 13:00
363,萬華,臺北市,42,,良好,1.4,0.32,0.3,40,42,29,15,18,21,3.4,1.9,72,2019/10/21 13:00,13,27,1,121.507972,25.046503,13,13-2019-10-21 13:00:00,13,東,2,,,24.4,60,1013.4,陰,0,中央氣象局,2019/10/21 13:00
364,冬山,宜蘭縣,41,,良好,1.3,0.17,0.2,49,44,27,13,8.7,11,1.9,2.6,23,2019/10/21 13:00,11,24,2,121.792928,24.632203,66,66-2019-10-21 13:00:00,66,北,2,,,26.2,62,1013,陰,0,中央氣象局,2019/10/21 13:00
365,恆春,屏東縣,44,,良好,1.1,0.14,0.1,50,48,24,11,1.3,1.9,0.7,7.2,45,2019/10/21 13:00,11,22,1,120.788928,21.958069,61,61-2019-10-21 13:00:00,61,東北,3,,,28.4,57,1011.4,晴,0,中央氣象局,2019/10/21 13:00
366,基隆,基隆市,47,,良好,1.4,0.21,0.3,52,51,33,8,5.3,7,1.6,1.5,68,2019/10/21 13:00,10,31,2,121.760056,25.129167,1,1-2019-10-21 13:00:00,1,北,3,,,23.6,56,1013.7,陰,0,中央氣象局,2019/10/21 13:00
367,臺東,臺東縣,34,,良好,1.8,0.27,0.3,51,37,29,8,3.9,6,2.1,3.8,33,2019/10/21 13:00,10,27,2,121.15045,22.755358,62,62-2019-10-21 13:00:00,62,東北東,3,,,27,63,1012.1,晴,0,中央氣象局,2019/10/21 13:00
368,陽明,臺北市,48,,良好,0.7,0.12,0.1,48,52,19,10,0.9,1.4,0.5,,,2019/10/21 12:00,9,19,2,121.529583,25.182722,64,64-2019-10-21 12:00:00,64,北,2,,,17.4,86,,,0.5,中央氣象局,2019/10/21 12:00
369,臺南,臺南市,85,細懸浮微粒,普通,3.9,0.39,0.5,83,35,70,29,12,13,1.3,2.6,266,2019/10/21 12:00,29,67,3,120.202617,22.984581,46,46-2019-10-21 12:00:00,46,南南西,2,,,28.9,58,1012.7,晴,0,中央氣象局,2019/10/21 12:00
370,金門,金門縣,84,臭氧八小時,普通,2.5,0.32,0.3,91,65,68,30,8.8,9.4,0.5,3.3,29,2019/10/21 12:00,28,62,3,118.312256,24.432133,77,77-2019-10-21 12:00:00,77,北北東,2,,,28.2,44,1016.3,,0,中央氣象局,2019/10/21 12:00
371,馬祖,連江縣,108,臭氧八小時,對敏感族群不健康,2.1,0.28,0.3,84,73,45,28,5.3,6.2,0.9,2.8,328,2019/10/21 12:00,27,44,2,119.949875,26.160469,75,75-2019-10-21 12:00:00,75,北北東,2,,,23.9,57,1016.8,,0,中央氣象局,2019/10/21 12:00
372,嘉義,嘉義市,70,細懸浮微粒,普通,2.8,0.37,0.4,61,27,59,28,10,12,1.2,2.9,322,2019/10/21 12:00,23,51,4,120.440833,23.462778,42,42-2019-10-21 12:00:00,42,西,1,,,28,64,1012.2,多雲,0,中央氣象局,2019/10/21 12:00
373,板橋,新北市,56,細懸浮微粒,普通,1.1,0.39,0.4,35,38,53,39,27,34,7.6,2.7,97,2019/10/21 12:00,18,35,1,121.458667,25.012972,6,6-2019-10-21 12:00:00,6,東北東,2,,,24.5,55,1014.4,,0,中央氣象局,2019/10/21 12:00
374,馬公,澎湖縣,90,臭氧八小時,普通,1.9,0.18,0.2,67,67,44,17,2.1,6.5,4.4,5.5,32,2019/10/21 12:00,15,43,2,119.566158,23.569031,78,78-2019-10-21 12:00:00,78,北北東,4,6,,27,61,1013.5,多雲,0,中央氣象局,2019/10/21 12:00
375,新竹,新竹市,51,臭氧八小時,普通,2,0.26,0.3,63,55,0,0,7.6,8.7,1.1,2.6,73,2019/10/21 12:00,15,33,2,120.972075,24.805619,24,24-2019-10-21 12:00:00,24,北,2,,,26.1,60,1013.7,晴,0,中央氣象局,2019/10/21 12:00
376,大里,臺中市,46,,良好,2.5,0.32,0.4,63,29,40,12,11,13,1.7,2.7,303,2019/10/21 12:00,14,35,2,120.677689,24.099611,30,30-2019-10-21 12:00:00,30,北北西,2,,,28.3,55,1012,晴,0,中央氣象局,2019/10/21 12:00
377,觀音,桃園市,61,臭氧八小時,普通,0.9,0.15,0.2,57,58,34,12,3.8,4.8,1,5.9,40,2019/10/21 12:00,13,33,3,121.082761,25.035503,19,19-2019-10-21 12:00:00,19,東北,4,6,,24.7,57,1014.1,,0,中央氣象局,2019/10/21 12:00
378,沙鹿,臺中市,49,,良好,2.6,0.17,0.1,70,53,37,15,8.2,9.3,1.1,6,348,2019/10/21 12:00,13,32,2,120.568794,24.225628,29,29-2019-10-21 12:00:00,29,北,5,7,,25.7,61,1012.8,,0,中央氣象局,2019/10/21 12:00
379,萬華,臺北市,41,,良好,0.8,0.27,0.3,42,44,30,13,16,19,2.6,2,70,2019/10/21 12:00,12,27,1,121.507972,25.046503,13,13-2019-10-21 12:00:00,13,東北東,2,,,24.6,61,1014.3,陰,0,中央氣象局,2019/10/21 12:00
380,基隆,基隆市,48,,良好,1.4,0.19,0.3,54,52,31,8,3.6,4.9,1.3,1.2,66,2019/10/21 12:00,11,31,2,121.760056,25.129167,1,1-2019-10-21 12:00:00,1,北,3,,,23.6,56,1014.3,陰,0,中央氣象局,2019/10/21 12:00
381,冬山,宜蘭縣,39,,良好,1.3,0.21,0.2,55,42,28,10,9.6,11,1.5,2.3,13,2019/10/21 12:00,11,23,2,121.792928,24.632203,66,66-2019-10-21 12:00:00,66,東北,2,,,25.7,63,1013.9,陰,0,中央氣象局,2019/10/21 12:00
382,恆春,屏東縣,44,,良好,1.1,0.14,0.1,51,47,21,10,1.3,2,0.8,7.6,42,2019/10/21 12:00,11,23,1,120.788928,21.958069,61,61-2019-10-21 12:00:00,61,東北,3,,,29.1,54,1012.1,晴,0,中央氣象局,2019/10/21 12:00
383,臺東,臺東縣,32,,良好,1.8,0.29,0.3,50,34,31,8,5.6,8.2,2.6,3.8,43,2019/10/21 12:00,10,26,2,121.15045,22.755358,62,62-2019-10-21 12:00:00,62,東北東,3,,,28,63,1012.9,晴,0,中央氣象局,2019/10/21 12:00
384,陽明,臺北市,49,,良好,0.6,0.13,0.1,49,53,19,8,0.9,1.5,0.5,,,2019/10/21 11:00,9,20,2,121.529583,25.182722,64,64-2019-10-21 11:00:00,64,北,2,,20,17.6,84,,多雲,0,中央氣象局,2019/10/21 11:00
385,臺南,臺南市,84,細懸浮微粒,普通,4.4,0.55,0.5,68,28,80,32,19,21,2.4,1.9,227,2019/10/21 11:00,29,66,3,120.202617,22.984581,46,46-2019-10-21 11:00:00,46,西南,1,,8,29,60,1013.4,多雲有霾,0,中央氣象局,2019/10/21 11:00
386,金門,金門縣,78,細懸浮微粒,普通,2.9,0.34,0.3,79,61,64,30,10,11,1.1,4,35,2019/10/21 11:00,27,58,3,118.312256,24.432133,77,77-2019-10-21 11:00:00,77,北北東,2,,20,27.3,45,1017,晴,0,中央氣象局,2019/10/21 11:00
387,馬祖,連江縣,104,臭氧八小時,對敏感族群不健康,2.3,0.28,0.3,79,72,51,28,5.8,6.7,0.9,2.8,329,2019/10/21 11:00,26,43,2,119.949875,26.160469,75,75-2019-10-21 11:00:00,75,北北東,2,,15,23.8,60,1017.8,多雲,0,中央氣象局,2019/10/21 11:00
388,嘉義,嘉義市,67,細懸浮微粒,普通,3,0.39,0.4,50,22,61,26,13,15,2.2,1.6,235,2019/10/21 11:00,22,49,4,120.440833,23.462778,42,42-2019-10-21 11:00:00,42,西北,1,,14,27.4,64,1013,多雲,0,中央氣象局,2019/10/21 11:00
389,馬公,澎湖縣,90,臭氧八小時,普通,2,0.17,0.2,67,67,42,13,2.1,6.2,4.1,5.5,21,2019/10/21 11:00,15,41,2,119.566158,23.569031,78,78-2019-10-21 11:00:00,78,北北東,3,6,20,27.3,59,1014.3,多雲,0,中央氣象局,2019/10/21 11:00
390,大里,臺中市,49,,良好,2.4,0.36,0.4,51,23,41,16,13,16,3.1,1.8,349,2019/10/21 11:00,15,34,2,120.677689,24.099611,30,30-2019-10-21 11:00:00,30,西北,1,,15,28.2,57,1013,晴,0,中央氣象局,2019/10/21 11:00
391,新竹,新竹市,51,臭氧八小時,普通,2,0.24,0.3,60,55,29,14,7.4,8.4,1,3.5,59,2019/10/21 11:00,15,32,2,120.972075,24.805619,24,24-2019-10-21 11:00:00,24,北北東,2,6,10,25.3,61,1014.7,多雲,0,中央氣象局,2019/10/21 11:00
392,沙鹿,臺中市,46,,良好,2.2,0.14,0.1,60,50,34,11,7.8,8.9,1.1,5,345,2019/10/21 11:00,14,30,2,120.568794,24.225628,29,29-2019-10-21 11:00:00,29,北北西,4,6,20,26.3,60,1013.8,晴,0,中央氣象局,2019/10/21 11:00
393,觀音,桃園市,64,臭氧八小時,普通,,0.16,0.2,59,59,0,0,4,5.1,1,5.3,49,2019/10/21 11:00,13,34,3,121.082761,25.035503,19,19-2019-10-21 11:00:00,19,東北,4,6,16,24.7,57,1014.8,晴,0,中央氣象局,2019/10/21 11:00
394,板橋,新北市,42,,良好,0.8,0.33,0.3,38,40,35,12,24,30,5.9,2.5,158,2019/10/21 11:00,13,31,1,121.458667,25.012972,6,6-2019-10-21 11:00:00,6,北北東,1,,20,24.7,56,1015.1,陰,0,中央氣象局,2019/10/21 11:00
395,基隆,基隆市,49,,良好,1.6,0.17,0.3,54,53,32,11,3.9,5.5,1.6,1.5,32,2019/10/21 11:00,12,31,2,121.760056,25.129167,1,1-2019-10-21 11:00:00,1,北北東,3,,16,23.9,62,1015,陰,0,中央氣象局,2019/10/21 11:00
396,萬華,臺北市,42,,良好,1,0.27,0.3,43,45,30,12,17,20,3.2,2.6,93,2019/10/21 11:00,12,27,1,121.507972,25.046503,13,13-2019-10-21 11:00:00,13,東北東,3,,25,24.2,60,1014.9,陰,0,中央氣象局,2019/10/21 11:00
397,冬山,宜蘭縣,36,,良好,1.2,0.18,0.2,56,38,24,12,4.3,4.8,0.6,2.1,294,2019/10/21 11:00,11,23,2,121.792928,24.632203,66,66-2019-10-21 11:00:00,66,北北西,1,,18,25.5,64,1014.7,陰,0,中央氣象局,2019/10/21 11:00
398,恆春,屏東縣,44,,良好,1.2,0.14,0.1,49,47,21,13,1.3,2,0.7,7.3,25,2019/10/21 11:00,11,23,1,120.788928,21.958069,61,61-2019-10-21 11:00:00,61,東北,3,,20,28.4,55,1013.1,晴,0,中央氣象局,2019/10/21 11:00
399,臺東,臺東縣,33,,良好,1.8,0.29,0.2,48,32,33,7,6.1,8.9,2.8,3.1,38,2019/10/21 11:00,10,24,2,121.15045,22.755358,62,62-2019-10-21 11:00:00,62,東北,3,,25,27.6,66,1013.6,晴,0,中央氣象局,2019/10/21 11:00
400,臺南,臺南市,81,細懸浮微粒,普通,4.8,0.7,0.5,46,22,83,37,25,29,4.2,0.6,90,2019/10/21 10:00,28,61,3,120.202617,22.984581,46,46-2019-10-21 10:00:00,46,南南西,1,,,27.1,68,1014.4,多雲有霾,0,中央氣象局,2019/10/21 10:00
401,金門,金門縣,75,細懸浮微粒,普通,4.4,0.34,0.3,66,58,67,32,12,13,1.4,3.4,28,2019/10/21 10:00,25,55,3,118.312256,24.432133,77,77-2019-10-21 10:00:00,77,東北,2,,,25.9,49,1018.1,,0,中央氣象局,2019/10/21 10:00
402,馬祖,連江縣,101,臭氧八小時,對敏感族群不健康,2.4,0.29,0.3,70,71,45,24,6.5,7.2,0.7,2.6,332,2019/10/21 10:00,25,41,2,119.949875,26.160469,75,75-2019-10-21 10:00:00,75,北,2,,,23.5,64,1018.3,,0,中央氣象局,2019/10/21 10:00
403,嘉義,嘉義市,65,細懸浮微粒,普通,3.4,0.45,0.4,34,18,53,27,16,20,3.8,1.5,347,2019/10/21 10:00,21,46,4,120.440833,23.462778,42,42-2019-10-21 10:00:00,42,西北,1,,,26.9,67,1013.9,晴,0,中央氣象局,2019/10/21 10:00
404,馬公,澎湖縣,90,臭氧八小時,普通,1.8,0.19,0.2,69,67,49,15,2.5,6.9,4.3,5.8,20,2019/10/21 10:00,15,41,2,119.566158,23.569031,78,78-2019-10-21 10:00:00,78,北北東,3,6,,24.5,69,1015,多雲,0,中央氣象局,2019/10/21 10:00
405,大里,臺中市,49,,良好,2.2,0.45,0.4,39,18,38,13,15,19,3.5,1.7,350,2019/10/21 10:00,15,33,2,120.677689,24.099611,30,30-2019-10-21 10:00:00,30,北,2,,,27,62,1013.9,晴,0,中央氣象局,2019/10/21 10:00
406,觀音,桃園市,64,臭氧八小時,普通,2,0.2,0.2,58,59,36,16,5.8,7,1.2,5.2,42,2019/10/21 10:00,14,34,3,121.082761,25.035503,19,19-2019-10-21 10:00:00,19,東北,4,6,,24,59,1015.7,,0,中央氣象局,2019/10/21 10:00
407,新竹,新竹市,50,,良好,2.2,0.27,0.2,58,54,37,14,7.8,9.2,1.4,3.3,69,2019/10/21 10:00,14,33,2,120.972075,24.805619,24,24-2019-10-21 10:00:00,24,北北東,2,6,,25.3,61,1015.6,多雲,0,中央氣象局,2019/10/21 10:00
408,沙鹿,臺中市,44,,良好,2.2,0.14,0.1,54,48,29,12,8.4,9.7,1.3,4.5,358,2019/10/21 10:00,14,30,2,120.568794,24.225628,29,29-2019-10-21 10:00:00,29,北,4,6,,25.1,63,1014.7,,0,中央氣象局,2019/10/21 10:00
409,板橋,新北市,43,,良好,1,0.42,0.3,35,41,38,12,26,33,7,1.8,66,2019/10/21 10:00,13,29,1,121.458667,25.012972,6,6-2019-10-21 10:00:00,6,東北,1,,,24,56,1016,,0,中央氣象局,2019/10/21 10:00
410,基隆,基隆市,50,,良好,1.9,0.42,0.3,42,54,33,10,14,20,6.1,0.6,93,2019/10/21 10:00,12,31,2,121.760056,25.129167,1,1-2019-10-21 10:00:00,1,北,3,,,23.5,63,1015.9,陰,0,中央氣象局,2019/10/21 10:00
411,萬華,臺北市,44,,良好,1.3,0.34,0.3,40,47,26,14,20,25,4.5,1.6,63,2019/10/21 10:00,12,26,1,121.507972,25.046503,13,13-2019-10-21 10:00:00,13,東南東,1,,,24.3,58,1015.9,陰,0,中央氣象局,2019/10/21 10:00
412,冬山,宜蘭縣,35,,良好,1.1,0.17,0.2,52,34,20,8,3.7,4.1,0.4,1.6,272,2019/10/21 10:00,11,23,2,121.792928,24.632203,66,66-2019-10-21 10:00:00,66,北,1,,,24.7,66,1015.9,陰,0,中央氣象局,2019/10/21 10:00
413,臺東,臺東縣,34,,良好,1.8,0.3,0.2,45,30,30,15,6.3,8.9,2.6,3.2,29,2019/10/21 10:00,11,22,2,121.15045,22.755358,62,62-2019-10-21 10:00:00,62,東北東,3,,,27.1,65,1014.4,晴,0,中央氣象局,2019/10/21 10:00
414,恆春,屏東縣,44,,良好,1.2,0.14,0.1,48,47,22,9,1.3,2.2,0.9,7.8,6.8,2019/10/21 10:00,10,24,1,120.788928,21.958069,61,61-2019-10-21 10:00:00,61,東北,2,,,27.8,57,1014,多雲,0,中央氣象局,2019/10/21 10:00
415,陽明,臺北市,49,,良好,0.8,0.14,0.2,49,53,18,8,1,1.5,0.5,,,2019/10/21 10:00,10,20,2,121.529583,25.182722,64,64-2019-10-21 10:00:00,64,北,2,,,17.1,85,,,0,中央氣象局,2019/10/21 10:00
416,臺南,臺南市,75,細懸浮微粒,普通,4.7,0.75,0.4,32,18,71,32,23,29,6.2,1.3,324,2019/10/21 09:00,25,55,3,120.202617,22.984581,46,46-2019-10-21 09:00:00,46,西北,1,,8,25.9,72,1014.8,晴有霾,0,中央氣象局,2019/10/21 09:00
417,金門,金門縣,74,細懸浮微粒,普通,3.6,0.31,0.3,61,57,61,24,11,12,1.1,4.1,37,2019/10/21 09:00,25,54,3,118.312256,24.432133,77,77-2019-10-21 09:00:00,77,東北,2,,,24.4,51,1018.2,,0,中央氣象局,2019/10/21 09:00
418,馬祖,連江縣,104,臭氧八小時,對敏感族群不健康,2.3,0.29,0.3,68,72,42,30,6.7,7.5,0.8,1.9,334,2019/10/21 09:00,25,40,2,119.949875,26.160469,75,75-2019-10-21 09:00:00,75,北,2,,,21.8,67,1018.5,,0,中央氣象局,2019/10/21 09:00
419,嘉義,嘉義市,62,細懸浮微粒,普通,3.7,0.52,0.4,19,17,53,21,18,25,6.5,1.5,3.1,2019/10/21 09:00,20,44,4,120.440833,23.462778,42,42-2019-10-21 09:00:00,42,北,1,,12,25.2,72,1014.4,多雲,0,中央氣象局,2019/10/21 09:00
420,大里,臺中市,52,細懸浮微粒,普通,2.2,0.56,0.4,30,17,33,12,17,21,3.5,1.7,58,2019/10/21 09:00,16,32,2,120.677689,24.099611,30,30-2019-10-21 09:00:00,30,北,1,,12,24.9,67,1014.5,陰,0,中央氣象局,2019/10/21 09:00
421,馬公,澎湖縣,90,臭氧八小時,普通,1.5,0.2,0.1,69,67,45,16,2.8,7.3,4.4,5.3,23,2019/10/21 09:00,15,39,2,119.566158,23.569031,78,78-2019-10-21 09:00:00,78,北北東,3,6,20,24.1,71,1015.2,多雲,0,中央氣象局,2019/10/21 09:00
422,新竹,新竹市,49,,良好,2.5,0.37,0.2,52,53,43,23,,,,3.3,78,2019/10/21 09:00,14,31,2,120.972075,24.805619,24,24-2019-10-21 09:00:00,24,北北東,2,,10,24.5,63,1016,多雲,0,中央氣象局,2019/10/21 09:00
423,沙鹿,臺中市,44,,良好,2.2,0.16,0.1,49,47,33,15,11,12,1.1,4.5,358,2019/10/21 09:00,14,30,3,120.568794,24.225628,29,29-2019-10-21 09:00:00,29,北,3,,,24.1,65,1015.1,,0,中央氣象局,2019/10/21 09:00
424,板橋,新北市,44,,良好,0.8,0.52,0.3,36,43,32,15,27,31,4.2,1,311,2019/10/21 09:00,14,28,1,121.458667,25.012972,6,6-2019-10-21 09:00:00,6,東北東,1,,,23.7,65,1016.4,,0,中央氣象局,2019/10/21 09:00
425,觀音,桃園市,64,臭氧八小時,普通,3.2,0.21,0.2,57,59,35,9,8.2,9.3,1.1,6,43,2019/10/21 09:00,13,33,3,121.082761,25.035503,19,19-2019-10-21 09:00:00,19,東北,4,6,,23.9,61,1016,,0,中央氣象局,2019/10/21 09:00
426,基隆,基隆市,50,,良好,1.5,0.58,0.3,41,54,29,13,17,30,13,0.5,97,2019/10/21 09:00,12,31,2,121.760056,25.129167,1,1-2019-10-21 09:00:00,1,北,3,,15,23.1,64,1016.3,陰,0,中央氣象局,2019/10/21 09:00
427,萬華,臺北市,44,,良好,1.2,0.46,0.3,37,48,31,10,25,29,3.7,2,106,2019/10/21 09:00,12,26,1,121.507972,25.046503,13,13-2019-10-21 09:00:00,13,東,1,,25,23.7,62,1016.3,陰,0,中央氣象局,2019/10/21 09:00
428,恆春,屏東縣,44,,良好,1.2,0.15,0.1,46,47,25,10,1.4,2.3,0.9,7.2,11,2019/10/21 09:00,11,24,1,120.788928,21.958069,61,61-2019-10-21 09:00:00,61,東北,3,,25,26.4,64,1014.3,多雲,0,中央氣象局,2019/10/21 09:00
429,冬山,宜蘭縣,37,,良好,1.4,0.18,0.2,41,31,23,12,5.7,6.2,0.5,1.5,287,2019/10/21 09:00,11,23,2,121.792928,24.632203,66,66-2019-10-21 09:00:00,66,東,1,,18,24.4,67,1016.2,陰,0,中央氣象局,2019/10/21 09:00
430,陽明,臺北市,50,,良好,0.8,0.14,0.2,51,54,22,10,1.1,1.6,0.4,,,2019/10/21 09:00,10,21,2,121.529583,25.182722,64,64-2019-10-21 09:00:00,64,北,1,,,16.6,89,,,0,中央氣象局,2019/10/21 09:00
431,臺東,臺東縣,32,,良好,1.8,0.32,0.2,28,29,23,9,5.2,7.7,2.5,1.4,19,2019/10/21 09:00,10,20,2,121.15045,22.755358,62,62-2019-10-21 09:00:00,62,東北,2,,30,26.8,65,1014.5,晴,0,中央氣象局,2019/10/21 09:00
432,金門,金門縣,74,細懸浮微粒,普通,3.1,0.3,0.3,59,57,49,23,8.7,9.4,0.7,3.7,16,2019/10/21 08:00,25,53,3,118.312256,24.432133,77,77-2019-10-21 08:00:00,77,東北,2,,25,22.8,56,1018.1,晴,0,中央氣象局,2019/10/21 08:00
433,馬祖,連江縣,108,臭氧八小時,對敏感族群不健康,2.7,0.3,0.3,68,73,42,26,5.7,6.5,0.8,1.4,347,2019/10/21 08:00,24,39,2,119.949875,26.160469,75,75-2019-10-21 08:00:00,75,北,2,,10,20.7,72,1018,晴,0,中央氣象局,2019/10/21 08:00
434,臺南,臺南市,69,細懸浮微粒,普通,4.9,0.7,0.4,14,18,66,28,25,35,9.7,1.2,34,2019/10/21 08:00,23,51,3,120.202617,22.984581,46,46-2019-10-21 08:00:00,46,北,1,,8,24.4,76,1014.6,晴有靄,0,中央氣象局,2019/10/21 08:00
435,嘉義,嘉義市,62,細懸浮微粒,普通,3.2,0.51,0.4,13,17,46,21,17,23,5.7,1.8,360,2019/10/21 08:00,20,42,4,120.440833,23.462778,42,42-2019-10-21 08:00:00,42,北北東,2,,10,24,77,1014.3,多雲,0,中央氣象局,2019/10/21 08:00
436,大里,臺中市,54,細懸浮微粒,普通,2.2,0.52,0.4,21,17,33,17,18,22,4.2,1.6,353,2019/10/21 08:00,17,31,2,120.677689,24.099611,30,30-2019-10-21 08:00:00,30,北北西,1,,12,23.4,70,1014.6,陰,0,中央氣象局,2019/10/21 08:00
437,馬公,澎湖縣,87,臭氧八小時,普通,1.4,0.19,0.1,66,66,37,19,3,7,4,5.6,22,2019/10/21 08:00,14,38,2,119.566158,23.569031,78,78-2019-10-21 08:00:00,78,北北東,3,6,20,23.6,73,1015.1,陰,0,中央氣象局,2019/10/21 08:00
438,觀音,桃園市,67,臭氧八小時,普通,3.9,0.24,0.2,58,60,39,17,8.1,8.6,0.5,4.6,46,2019/10/21 08:00,14,32,3,121.082761,25.035503,19,19-2019-10-21 08:00:00,19,東北,3,,12,22.8,61,1015.9,陰,0,中央氣象局,2019/10/21 08:00
439,沙鹿,臺中市,43,,良好,1.9,0.17,0.1,47,46,28,16,9.7,11,1,3.9,2.7,2019/10/21 08:00,13,29,3,120.568794,24.225628,29,29-2019-10-21 08:00:00,29,北,3,6,20,22.8,67,1015.1,陰,0,中央氣象局,2019/10/21 08:00
440,板橋,新北市,43,,良好,0.9,0.45,0.2,37,44,27,12,22,24,1.8,1.2,86,2019/10/21 08:00,13,26,1,121.458667,25.012972,6,6-2019-10-21 08:00:00,6,東北東,1,,18,23,67,1016.4,陰,0,中央氣象局,2019/10/21 08:00
441,基隆,基隆市,50,,良好,1.3,0.3,0.2,51,54,33,13,8.9,11,2,0.5,66,2019/10/21 08:00,12,32,2,121.760056,25.129167,1,1-2019-10-21 08:00:00,1,北,3,,15,23,57,1016.1,陰,0,中央氣象局,2019/10/21 08:00
442,新竹,新竹市,49,,良好,2.5,0.33,0.2,48,53,31,14,13,14,1,2.8,73,2019/10/21 08:00,12,28,2,120.972075,24.805619,24,24-2019-10-21 08:00:00,24,東北,1,,10,22.8,71,1016.1,多雲,0,中央氣象局,2019/10/21 08:00
443,萬華,臺北市,46,,良好,0.6,0.37,0.2,38,50,26,15,24,26,2.2,1.4,95,2019/10/21 08:00,12,25,1,121.507972,25.046503,13,13-2019-10-21 08:00:00,13,東北東,1,,25,23.3,64,1016.2,陰,0,中央氣象局,2019/10/21 08:00
444,冬山,宜蘭縣,39,,良好,1.4,0.23,0.2,33,30,28,9,6.9,7.3,0.4,1.1,279,2019/10/21 08:00,12,24,2,121.792928,24.632203,66,66-2019-10-21 08:00:00,66,西北,1,,20,22.9,78,1016.1,陰,0,中央氣象局,2019/10/21 08:00
445,恆春,屏東縣,44,,良好,1.2,0.15,0.1,46,47,24,11,1.6,2.3,0.6,6.8,9.6,2019/10/21 08:00,11,24,1,120.788928,21.958069,61,61-2019-10-21 08:00:00,61,北北東,2,,20,25.4,71,1014,多雲,0,中央氣象局,2019/10/21 08:00
446,陽明,臺北市,50,,良好,0.7,0.16,0.2,52,54,24,12,1.1,1.6,0.5,,,2019/10/21 08:00,10,20,2,121.529583,25.182722,64,64-2019-10-21 08:00:00,64,北北西,3,,20,15.4,90,,陰,0,中央氣象局,2019/10/21 08:00
447,臺東,臺東縣,33,,良好,1.6,0.28,0.2,23,30,22,10,3.7,5.5,1.8,2.3,314,2019/10/21 08:00,10,19,2,121.15045,22.755358,62,62-2019-10-21 08:00:00,62,北北西,1,,30,23.8,68,1014.6,多雲,0,中央氣象局,2019/10/21 08:00
448,金門,金門縣,75,細懸浮微粒,普通,2.7,0.27,0.3,60,57,45,21,7.9,8.2,0.3,2.6,36,2019/10/21 07:00,25,54,3,118.312256,24.432133,77,77-2019-10-21 07:00:00,77,東北,2,,,20.4,64,1017.7,,0,中央氣象局,2019/10/21 07:00
449,馬祖,連江縣,115,臭氧八小時,對敏感族群不健康,2.3,0.27,0.2,71,75,42,26,4.6,5.3,0.7,1.2,352,2019/10/21 07:00,24,39,2,119.949875,26.160469,75,75-2019-10-21 07:00:00,75,北,2,,,20,73,1018.2,,0,中央氣象局,2019/10/21 07:00
450,臺南,臺南市,69,細懸浮微粒,普通,3.6,0.41,0.4,9.8,19,50,22,23,25,2.7,1,15,2019/10/21 07:00,23,49,3,120.202617,22.984581,46,46-2019-10-21 07:00:00,46,北北西,1,,,22.4,81,1014.2,,0,中央氣象局,2019/10/21 07:00
451,嘉義,嘉義市,61,細懸浮微粒,普通,2.6,0.4,0.3,10,19,45,21,16,18,2,1.6,53,2019/10/21 07:00,20,41,4,120.440833,23.462778,42,42-2019-10-21 07:00:00,42,北北東,1,,,21.7,86,1014,,0,中央氣象局,2019/10/21 07:00
452,大里,臺中市,54,細懸浮微粒,普通,2.4,0.48,0.4,6.4,18,35,16,19,22,3.5,0.8,248,2019/10/21 07:00,17,30,2,120.677689,24.099611,30,30-2019-10-21 07:00:00,30,北,2,,,22.7,73,1014.1,,0,中央氣象局,2019/10/21 07:00
453,馬公,澎湖縣,84,臭氧八小時,普通,1.6,0.15,0.1,66,65,41,15,2,5.8,3.8,5.7,20,2019/10/21 07:00,14,38,2,119.566158,23.569031,78,78-2019-10-21 07:00:00,78,北北東,3,6,,23.5,81,1014.6,,0,中央氣象局,2019/10/21 07:00
454,板橋,新北市,44,,良好,1.1,0.31,0.2,36,45,27,16,16,17,1,1.2,284,2019/10/21 07:00,14,27,,121.458667,25.012972,6,6-2019-10-21 07:00:00,6,西南,1,,,21.8,77,1015.8,,0,中央氣象局,2019/10/21 07:00
455,觀音,桃園市,67,臭氧八小時,普通,3.5,0.22,0.2,60,60,34,17,7.7,8.3,0.7,4.3,60,2019/10/21 07:00,13,30,3,121.082761,25.035503,19,19-2019-10-21 07:00:00,19,東北,3,,,22.3,65,1015.4,,0,中央氣象局,2019/10/21 07:00
456,沙鹿,臺中市,42,,良好,2,0.14,0.2,48,45,28,11,7.8,8.5,0.7,3.7,3.7,2019/10/21 07:00,13,30,3,120.568794,24.225628,29,29-2019-10-21 07:00:00,29,北,3,,,22.1,69,1014.6,,0,中央氣象局,2019/10/21 07:00
